aX,aY,aZ,gX,gY,gZ
0.147,-0.533,0.099,-243.469,7.324,-47.119
0.159,-0.546,0.194,-248.657,13.916,-46.570
0.169,-0.537,0.287,-251.160,16.052,-46.448
0.174,-0.519,0.370,-250.366,11.780,-46.997
0.172,-0.515,0.437,-246.460,3.235,-47.913
0.155,-0.539,0.510,-241.821,-6.104,-50.964
0.132,-0.543,0.601,-239.502,-11.475,-54.138
0.133,-0.517,0.688,-236.145,-13.306,-54.565
0.152,-0.502,0.787,-233.643,-11.963,-55.420
0.140,-0.532,0.931,-234.924,-7.446,-58.044
0.128,-0.575,1.079,-234.192,-3.784,-57.556
0.131,-0.606,1.202,-224.915,-5.005,-54.932
0.068,-0.634,1.274,-210.266,-10.498,-54.443
0.001,-0.664,1.286,-192.444,-16.479,-53.528
-0.038,-0.702,1.256,-172.180,-21.362,-48.157
-0.068,-0.720,1.205,-154.907,-26.001,-40.039
-0.063,-0.705,1.138,-143.860,-28.198,-33.691
-0.318,-0.503,2.409,126.831,-84.717,45.715
-0.319,-0.481,2.465,164.246,-85.693,54.016
-0.347,-0.419,2.425,206.055,-84.167,61.646
-0.376,-0.358,2.350,251.160,-79.956,70.374
-0.410,-0.296,2.310,294.861,-69.092,74.646
-0.429,-0.235,2.234,330.933,-55.359,80.200
-0.423,-0.168,2.120,372.559,-45.166,95.398
-0.423,-0.068,1.950,416.077,-29.480,111.694
-0.384,0.084,1.773,458.191,-15.686,127.869
-0.343,0.291,1.511,501.648,-1.953,144.592
-0.230,0.421,1.242,548.889,11.169,161.682
-0.145,0.531,0.976,583.984,23.437,178.650
-0.086,0.605,0.731,600.464,29.297,190.430
-0.029,0.661,0.481,604.919,33.081,198.486
-0.001,0.740,0.225,597.595,41.504,205.139
0.060,0.818,-0.034,581.726,51.147,212.585
0.166,0.864,-0.309,556.824,55.298,215.515
0.236,0.916,-0.560,521.118,58.472,207.336
0.313,0.843,-0.795,489.868,61.462,192.871
0.358,0.770,-0.998,452.698,57.190,178.589
0.328,0.810,-1.211,403.870,49.866,165.710
0.299,0.864,-1.411,355.347,49.744,155.640
0.298,0.895,-1.625,311.462,59.204,145.996
0.293,0.923,-1.854,268.921,67.261,133.301
0.245,0.964,-2.051,225.647,68.665,118.896
0.181,1.028,-2.226,183.105,62.622,106.506
0.103,1.052,-2.349,143.616,51.636,97.900
0.062,1.009,-2.452,105.896,40.771,93.018
0.097,0.883,-2.461,67.993,30.334,85.938
0.195,0.663,-2.363,24.902,17.273,76.294
0.267,0.456,-2.074,-17.883,15.869,56.030
0.310,0.246,-1.678,-55.786,13.489,34.729
0.338,0.013,-1.290,-80.688,9.033,14.709
0.381,-0.201,-0.932,-91.492,3.235,-2.136
0.414,-0.393,-0.650,-92.590,0.977,-12.390
0.468,-0.521,-0.434,-85.266,-2.563,-16.907
0.501,-0.652,-0.308,-66.528,-7.690,-15.564
0.506,-0.764,-0.276,-46.326,-6.775,-17.944
0.506,-0.802,-0.320,-32.104,-4.944,-23.987
0.465,-0.784,-0.402,-23.010,-5.432,-30.457
0.398,-0.739,-0.508,-15.747,-8.545,-34.546
0.346,-0.690,-0.641,-9.766,-12.756,-35.278
0.317,-0.639,-0.768,-7.324,-14.526,-33.875
0.304,-0.586,-0.877,-8.240,-15.503,-31.616
0.303,-0.529,-0.950,-13.428,-16.052,-30.457
0.301,-0.508,-0.967,-20.874,-14.038,-29.724
0.287,-0.494,-0.952,-29.236,-9.277,-29.358
0.284,-0.483,-0.916,-35.461,-6.592,-27.466
0.304,-0.486,-0.882,-38.696,-4.333,-23.132
0.335,-0.515,-0.844,-39.795,-1.038,-18.372
0.358,-0.539,-0.811,-41.504,1.038,-15.503
0.378,-0.550,-0.804,-43.823,1.831,-14.648
0.371,-0.561,-0.815,-46.265,3.357,-15.198
0.363,-0.552,-0.834,-50.171,4.333,-15.930
0.353,-0.534,-0.852,-55.664,3.723,-16.663
0.332,-0.507,-0.881,-61.157,1.465,-18.738
0.328,-0.494,-0.923,-66.833,-1.221,-21.057
0.316,-0.460,-0.951,-75.073,-2.319,-24.170
0.290,-0.427,-0.971,-83.557,-2.930,-27.039
0.266,-0.413,-0.981,-91.675,-5.432,-28.809
0.249,-0.412,-0.977,-99.243,-7.690,-28.748
0.236,-0.430,-0.945,-107.361,-7.568,-28.625
0.236,-0.456,-0.910,-114.380,-6.897,-27.893
0.262,-0.474,-0.872,-122.375,-5.615,-26.917
0.277,-0.489,-0.803,-130.737,-2.686,-26.123
0.286,-0.510,-0.746,-136.108,1.160,-26.245
0.317,-0.532,-0.703,-138.062,1.282,-27.771
0.304,-0.541,-0.687,-139.587,-1.343,-30.212
0.285,-0.546,-0.689,-140.015,-4.456,-32.043
0.271,-0.550,-0.714,-141.418,-7.507,-33.447
0.251,-0.530,-0.722,-146.851,-7.690,-35.278
0.254,-0.525,-0.714,-150.940,-5.188,-36.194
0.259,-0.534,-0.704,-155.396,-4.211,-37.598
0.249,-0.547,-0.688,-163.391,-3.113,-41.138
0.237,-0.556,-0.659,-173.584,-2.563,-45.532
0.238,-0.552,-0.606,-184.326,-2.747,-48.157
0.223,-0.548,-0.538,-193.237,-2.197,-50.659
0.211,-0.553,-0.481,-198.853,-2.380,-53.406
0.201,-0.562,-0.432,-201.843,-4.333,-55.908
0.175,-0.546,-0.410,-204.224,-6.958,-57.495
0.172,-0.535,-0.417,-206.360,-9.827,-58.838
0.147,-0.536,-0.414,-212.463,-8.362,-61.890
0.122,-0.548,-0.380,-222.839,-3.601,-66.101
0.109,-0.534,-0.311,-236.694,-0.427,-67.139
0.095,-0.503,-0.210,-251.160,0.671,-65.674
0.082,-0.479,-0.094,-262.939,1.038,-66.101
0.097,-0.451,0.005,-268.616,-0.977,-68.359
0.098,-0.446,0.100,-271.118,-5.554,-71.960
0.059,-0.490,0.212,-273.010,-6.104,-76.538
0.044,-0.528,0.324,-274.170,-3.479,-77.637
0.029,-0.558,0.439,-275.757,-1.343,-74.585
-0.000,-0.558,0.555,-276.062,1.587,-68.420
-0.022,-0.537,0.676,-270.813,5.737,-60.852
-0.032,-0.528,0.768,-256.897,9.888,-52.856
-0.018,-0.526,0.812,-237.305,11.414,-45.532
0.034,-0.500,0.809,-219.666,11.597,-41.626
0.059,-0.504,0.825,-210.937,14.221,-42.908
0.061,-0.554,0.912,-210.571,17.761,-45.349
0.044,-0.611,1.024,-215.515,13.489,-43.396
0.016,-0.636,1.127,-219.910,1.831,-39.856
-0.297,-0.560,2.545,171.387,-101.440,37.781
-0.331,-0.518,2.537,214.905,-85.754,47.791
-0.347,-0.481,2.498,255.981,-66.895,57.068
