aX,aY,aZ,gX,gY,gZ
-0.017,0.401,0.848,5.127,-21.545,15.076
-0.047,0.396,0.886,9.766,-10.437,14.526
-0.113,0.382,0.895,12.756,-5.554,17.639
-0.170,0.350,0.889,15.686,-7.019,19.775
-0.188,0.341,0.869,21.545,-14.954,20.569
-0.219,0.365,0.840,30.884,-23.865,22.278
-0.217,0.397,0.798,39.551,-28.625,23.376
-0.178,0.438,0.776,45.410,-30.884,24.719
-0.131,0.493,0.749,48.096,-30.823,26.855
-0.070,0.522,0.724,46.021,-28.259,28.015
-0.047,0.528,0.726,38.574,-26.245,29.541
-0.045,0.486,0.794,31.189,-25.330,33.020
-0.050,0.466,0.858,21.973,-29.419,38.757
-0.043,0.433,0.904,22.217,-35.522,42.969
-0.050,0.391,0.923,23.804,-45.105,48.157
-0.071,0.360,0.927,30.029,-57.190,50.537
-0.089,0.322,0.905,42.175,-66.589,49.927
-0.070,0.294,0.851,53.223,-69.275,48.645
-0.041,0.296,0.781,57.312,-67.566,47.363
-0.025,0.297,0.749,57.251,-63.232,43.335
-0.001,0.269,0.717,51.331,-55.420,37.292
0.033,0.249,0.713,39.246,-45.349,29.724
0.023,0.261,0.793,25.024,-36.438,20.569
-0.039,0.239,0.920,10.742,-26.855,12.451
-0.079,0.215,1.027,2.319,-14.099,6.653
-0.098,0.256,1.117,1.953,-2.563,4.639
-0.143,0.283,1.170,6.592,6.409,3.479
-0.160,0.264,1.207,11.353,13.184,0.488
-0.180,0.286,1.203,16.724,15.625,-0.549
-0.200,0.319,1.185,23.621,16.479,-0.244
-0.196,0.346,1.124,27.832,17.944,-0.061
-0.182,0.344,1.050,27.039,19.897,0.977
-0.161,0.348,1.001,23.010,20.142,2.686
-0.148,0.329,0.966,16.663,18.982,4.883
-0.116,0.314,0.939,6.714,17.578,7.690
-0.067,0.327,0.936,-5.371,14.282,11.108
-0.030,0.352,0.960,-15.930,8.301,12.207
-0.026,0.381,1.014,-23.437,3.357,10.376
-0.052,0.377,1.088,-25.391,1.709,6.531
-0.055,0.383,1.140,-19.775,5.249,5.188
-0.073,0.409,1.169,-9.155,12.207,5.188
-0.085,0.412,1.180,1.709,18.372,0.488
-0.124,0.355,1.177,11.108,21.423,-4.089
-0.141,0.310,1.135,20.996,22.400,-5.371
-0.159,0.299,1.072,30.212,19.104,-3.967
-0.174,0.294,1.005,34.607,11.353,-1.770
-0.171,0.304,0.925,32.410,1.343,-0.122
-0.160,0.307,0.878,25.635,-7.690,1.038
-0.155,0.285,0.854,15.747,-15.625,0.488
-0.156,0.264,0.845,7.446,-21.118,-0.305
-0.173,0.271,0.850,4.028,-22.095,1.404
-0.199,0.304,0.881,3.174,-18.555,3.052
-0.220,0.315,0.924,2.380,-12.634,2.502
-0.223,0.329,0.951,4.150,-6.653,2.197
-0.206,0.334,0.953,8.057,-1.831,1.953
-0.209,0.350,0.943,11.841,0.122,-0.061
-0.230,0.333,0.922,12.939,-1.099,-2.808
