aX,aY,aZ,gX,gY,gZ
-1.646,1.280,0.729,-47.058,-134.338,-89.844
-1.563,1.148,0.733,-35.828,-114.685,-67.261
-1.500,1.019,0.713,-24.719,-91.187,-51.392
-1.469,0.906,0.665,-16.968,-66.284,-36.377
-1.407,0.769,0.629,-9.277,-48.218,-23.437
-1.292,0.624,0.604,-4.395,-45.959,-13.245
-1.157,0.508,0.603,-8.484,-51.331,2.014
-1.047,0.418,0.609,-21.790,-61.096,22.156
-0.917,0.359,0.631,-40.833,-68.909,41.931
-0.778,0.322,0.670,-55.786,-71.289,56.152
-0.671,0.324,0.727,-63.843,-67.505,66.162
-0.609,0.363,0.810,-63.171,-56.702,69.702
-0.575,0.391,0.888,-56.885,-40.283,65.063
-0.565,0.410,0.952,-45.166,-18.616,56.519
-0.545,0.425,0.970,-28.015,5.188,47.607
-0.505,0.443,0.940,-11.353,26.855,40.283
-0.455,0.450,0.868,-1.831,38.269,37.109
-0.375,0.414,0.816,-0.366,35.706,37.842
-0.310,0.407,0.801,-1.038,21.667,41.748
-0.260,0.398,0.815,-2.808,2.441,45.288
-0.216,0.374,0.850,-6.653,-13.245,46.692
-0.166,0.375,0.892,-9.033,-21.118,46.631
-0.160,0.370,0.929,-8.118,-21.545,42.053
-0.164,0.353,0.956,-2.747,-13.367,33.142
-0.187,0.338,0.956,5.798,1.770,23.499
-0.226,0.341,0.921,15.686,20.203,15.503
-0.244,0.337,0.861,23.560,35.889,9.827
-0.251,0.337,0.792,24.841,42.480,6.531
-0.267,0.356,0.741,21.362,41.138,6.531
-0.302,0.354,0.733,13.916,34.607,8.362
-0.341,0.352,0.764,7.263,26.611,13.245
-0.361,0.370,0.799,3.784,21.179,20.569
-0.372,0.394,0.822,2.197,18.555,27.710
-0.365,0.403,0.826,0.793,18.433,33.447
-0.361,0.412,0.827,0.183,18.982,38.269
-0.367,0.429,0.835,0.488,19.409,42.053
-0.384,0.432,0.846,0.061,20.935,44.800
-0.407,0.427,0.853,-0.122,23.193,47.546
-0.423,0.420,0.857,1.343,26.978,51.025
-0.432,0.420,0.856,4.272,31.616,55.542
-0.436,0.441,0.850,7.812,35.950,60.913
-0.460,0.452,0.839,11.353,38.574,64.148
