aX,aY,aZ,gX,gY,gZ
1.374,0.697,0.956,-19.470,60.364,107.117
1.426,0.761,0.933,-22.400,64.331,91.919
1.331,0.757,0.948,-15.442,74.402,78.064
1.300,0.731,0.986,-2.075,53.589,37.659
1.177,0.693,1.003,5.188,36.194,5.005
1.037,0.674,0.987,5.188,34.119,-8.972
0.916,0.631,0.972,5.737,31.982,-14.221
0.838,0.602,0.966,7.080,25.635,-20.691
0.767,0.575,0.937,6.104,20.508,-24.353
0.700,0.544,0.910,4.883,12.939,-27.100
0.630,0.524,0.893,5.005,2.197,-31.006
0.556,0.507,0.897,5.493,-7.996,-35.522
0.461,0.488,0.918,6.165,-15.137,-41.809
0.413,0.466,0.939,6.958,-18.677,-52.002
0.327,0.469,0.935,3.723,-11.719,-43.030
0.320,0.470,0.903,0.916,-2.747,-43.213
0.331,0.453,0.877,-1.343,0.793,-53.833
0.326,0.447,0.866,-2.502,-1.404,-63.110
0.304,0.439,0.875,-4.639,-4.639,-70.251
0.272,0.443,0.877,-6.531,-5.798,-75.562
0.250,0.434,0.894,-7.629,-6.348,-79.407
0.284,0.450,0.889,-9.277,-5.615,-77.637
0.283,0.440,0.885,-5.554,-8.972,-77.698
0.316,0.427,0.880,-5.249,-18.127,-84.534
0.320,0.412,0.883,-6.287,-25.513,-87.708
0.320,0.399,0.879,-5.249,-33.875,-89.783
0.351,0.406,0.873,-4.944,-41.931,-91.553
0.365,0.411,0.870,-7.202,-47.729,-93.933
0.363,0.420,0.874,-9.460,-51.147,-98.206
0.362,0.439,0.869,-10.620,-51.758,-101.624
0.356,0.438,0.875,-13.428,-51.697,-103.699
0.344,0.418,0.903,-16.113,-51.514,-105.713
0.309,0.407,0.932,-16.296,-50.293,-107.605
0.267,0.413,0.956,-13.306,-48.340,-109.192
0.243,0.416,0.973,-8.850,-46.143,-107.910
0.239,0.408,0.969,-4.272,-43.152,-104.004
0.240,0.398,0.947,-0.366,-41.931,-99.976
0.232,0.388,0.927,2.991,-44.739,-96.436
0.223,0.380,0.909,5.188,-50.842,-93.872
0.208,0.370,0.892,5.188,-58.228,-91.919
0.182,0.362,0.880,3.540,-65.430,-90.393
0.165,0.363,0.865,1.648,-71.594,-89.966
0.144,0.371,0.854,-0.977,-75.928,-90.942
0.101,0.377,0.859,-3.479,-77.515,-92.163
0.055,0.389,0.882,-4.883,-75.256,-91.675
0.016,0.400,0.905,-4.822,-68.542,-88.806
-0.001,0.391,0.923,-2.808,-58.960,-84.961
0.002,0.380,0.923,0.977,-49.744,-81.848
0.016,0.381,0.909,4.761,-43.762,-80.505
0.010,0.377,0.895,6.165,-42.542,-80.872
-0.009,0.360,0.888,6.531,-43.945,-81.909
-0.018,0.354,0.866,6.897,-45.593,-82.703
-0.024,0.349,0.840,6.042,-46.143,-81.970
-0.020,0.343,0.816,2.869,-46.509,-80.627
-0.014,0.332,0.802,-1.587,-47.607,-80.566
-0.033,0.333,0.815,-6.348,-48.828,-80.139
-0.055,0.323,0.836,-10.498,-48.401,-78.186
-0.063,0.312,0.858,-13.428,-46.082,-75.317
-0.059,0.320,0.880,-13.428,-43.640,-71.472
-0.059,0.344,0.898,-12.329,-41.992,-67.505
-0.076,0.351,0.915,-12.085,-41.504,-64.514
-0.081,0.350,0.924,-11.047,-41.382,-61.768
-0.064,0.356,0.911,-8.179,-40.649,-59.692
-0.056,0.350,0.897,-6.348,-40.344,-59.143
-0.053,0.344,0.887,-5.249,-39.124,-59.692
-0.049,0.340,0.871,-5.005,-36.011,-60.791
-0.038,0.332,0.857,-6.653,-31.555,-62.561
-0.027,0.312,0.846,-9.216,-26.611,-64.941
-0.027,0.296,0.845,-12.146,-22.583,-67.139
-0.042,0.294,0.854,-15.076,-19.714,-68.298
-0.056,0.303,0.882,-17.944,-18.250,-68.665
-0.054,0.306,0.913,-19.836,-17.090,-67.932
-0.045,0.328,0.930,-19.470,-16.907,-65.613
-0.069,0.354,0.953,-18.005,-18.738,-63.843
-0.096,0.363,0.973,-15.137,-20.691,-61.829
-0.108,0.364,0.969,-10.864,-20.691,-58.899
-1.260,1.341,1.045,25.391,82.581,15.747
-1.396,1.365,1.010,44.739,101.257,25.085
-1.526,1.327,0.918,65.491,108.826,41.199
-1.628,1.197,0.789,84.167,100.220,64.087
-1.659,1.063,0.660,100.952,80.811,93.018
-1.601,0.960,0.497,114.746,60.669,131.348
-1.456,0.903,0.353,119.507,45.898,174.316
-1.282,0.834,0.263,113.037,42.480,215.576
-1.065,0.809,0.210,101.746,52.063,252.991
-0.809,0.809,0.164,86.060,70.618,285.583
-0.560,0.785,0.151,66.040,95.520,312.378
-0.357,0.791,0.185,48.218,122.742,335.144
-0.136,0.802,0.229,36.438,146.851,353.210
0.091,0.809,0.270,28.198,164.368,365.662
0.320,0.801,0.304,23.315,174.866,374.207
0.658,0.804,0.316,20.935,176.147,379.822
0.947,0.801,0.357,16.724,161.743,377.136
1.102,0.791,0.436,13.794,133.484,361.511
1.253,0.744,0.522,11.475,108.093,339.844
1.416,0.768,0.564,9.583,97.229,319.946
1.534,0.792,0.622,5.859,95.093,291.931
1.582,0.734,0.710,0.977,100.281,252.014
1.589,0.744,0.745,1.465,115.051,214.661
1.578,0.727,0.756,1.221,130.554,180.603
1.564,0.716,0.760,-0.610,139.343,150.635
1.527,0.716,0.818,-2.075,136.536,128.052
1.505,0.703,0.817,-9.888,143.555,121.887
1.465,0.746,0.863,1.526,128.906,110.596
1.432,0.716,0.929,11.169,96.741,91.980
1.406,0.691,0.958,12.939,67.871,77.820
1.385,0.680,0.932,10.620,44.006,67.627
1.355,0.643,0.920,8.179,17.395,57.678
1.246,0.612,0.912,6.470,-6.714,44.861
1.183,0.581,0.890,1.953,-18.005,32.410
1.106,0.556,0.866,-0.977,-20.691,20.630
1.025,0.536,0.850,-2.441,-20.264,6.897
0.935,0.506,0.851,-1.953,-19.043,-9.766
0.835,0.472,0.876,-0.854,-17.822,-27.344
0.743,0.432,0.895,1.038,-16.602,-43.640
0.703,0.398,0.891,1.648,-17.029,-60.791
0.584,0.427,0.877,-2.258,-16.846,-52.429
0.523,0.409,0.855,-6.958,-16.113,-53.345
0.499,0.378,0.847,-7.690,-20.020,-63.477
0.454,0.359,0.853,-5.066,-25.879,-68.481
0.432,0.365,0.846,-3.174,-28.809,-69.153
0.381,0.351,0.856,1.038,-33.569,-72.327
0.360,0.348,0.864,2.197,-39.368,-80.505
0.366,0.349,0.864,1.770,-39.185,-85.327
0.356,0.368,0.863,2.197,-38.086,-89.661
0.353,0.389,0.861,2.136,-36.682,-96.130
0.351,0.394,0.863,0.732,-35.034,-101.074
0.349,0.396,0.856,-0.244,-33.875,-105.469
0.358,0.396,0.839,-2.380,-33.630,-108.459
0.337,0.373,0.836,-7.141,-35.706,-109.253
0.318,0.355,0.846,-12.085,-40.466,-108.032
0.304,0.343,0.853,-16.907,-47.241,-106.262
0.287,0.336,0.880,-22.156,-54.993,-103.455
0.274,0.335,0.912,-26.306,-63.049,-100.281
0.265,0.339,0.937,-27.405,-70.740,-98.450
0.243,0.347,0.948,-24.536,-76.843,-97.351
0.225,0.363,0.943,-19.653,-80.872,-96.802
0.240,0.370,0.934,-14.526,-82.275,-96.375
0.246,0.381,0.920,-9.521,-80.933,-95.947
0.239,0.391,0.899,-6.226,-77.271,-97.229
0.228,0.393,0.884,-4.944,-71.838,-100.647
0.216,0.387,0.872,-4.578,-65.674,-104.614
0.186,0.384,0.859,-4.456,-59.875,-109.375
0.145,0.388,0.861,-4.822,-55.542,-114.258
0.084,0.392,0.886,-4.944,-52.063,-116.943
0.038,0.391,0.914,-3.418,-47.852,-115.356
0.023,0.386,0.917,-1.038,-44.495,-111.633
